0,1,-2,1,-1,-1,-1,0,0
-2,1,0,4,0,-2,0,-3,0
-1,0,0,-3,-1,-1,0,-1,0
-3,-1,-2,-2,1,-1,1,-3,0
-1,-2,-2,-3,-2,-1,-1,0,0
-1,-2,-2,-3,-2,-1,-1,0,0
-1,-2,-2,-3,-2,-1,-1,0,0
-1,-2,-2,-3,-2,-1,-1,0,0
1,0,-1,-1,-2,-1,-1,1,0
1,-2,-2,0,-1,-2,-1,-1,0
1,-2,-2,0,-1,-2,-1,-1,0
1,-2,-2,0,-1,-2,-1,-1,0
1,-2,-2,0,-1,-2,-1,-1,0
1,-2,-2,0,-1,-2,-1,-1,0
1,0,-1,-2,-1,2,1,1,0
1,0,-1,-2,-1,2,1,1,0
1,0,-1,-2,-1,2,1,1,0
0,-2,-2,-1,-1,-1,0,1,0
0,-2,-2,-1,-1,-1,0,1,0
0,-2,-2,-1,-1,-1,0,1,0
0,-2,-2,-1,-1,-1,0,1,0
0,-2,-2,-1,-1,-1,0,1,0
-1,-3,-1,-1,0,-2,-2,0,0
-1,-3,-1,-1,0,-2,-2,0,0
-1,-3,-1,-1,0,-2,-2,0,0
-1,-3,0,0,1,1,-2,-2,0
0,-1,-3,-1,1,-2,-1,2,0
1,0,2,-4,-2,-2,-1,0,0
-1,-2,-2,2,0,0,-1,-1,0
-1,-2,-2,2,0,0,-1,-1,0
-1,-2,-2,2,0,0,-1,-1,0
-1,-2,-2,2,0,0,-1,-1,0
0,2,1,-1,-2,1,-1,-2,0
0,2,1,-1,-2,1,-1,-2,0
0,2,1,-1,-2,1,-1,-2,0
0,2,1,-1,-2,1,-1,-2,0
2,0,-1,-6,-1,-1,-1,1,0
2,0,-1,-6,-1,-1,-1,1,0
2,0,-1,-6,-1,-1,-1,1,0
-4,-1,1,0,-3,-1,0,-1,0
-4,-1,1,0,-3,-1,0,-1,0
1,1,2,1,0,0,-1,0,0
1,1,2,1,0,0,-1,0,0
1,1,2,1,0,0,-1,0,0
1,1,2,1,0,0,-1,0,0
-3,-2,0,0,-1,-3,0,-1,0
-3,-2,0,0,-1,-3,0,-1,0
-3,-2,0,0,-1,-3,0,-1,0
-3,-2,0,0,-1,-3,0,-1,0
-3,-2,0,0,-1,-3,0,-1,0
2,-2,-1,-1,-2,-1,0,-1,0
2,-2,-1,-1,-2,-1,0,-1,0
2,-2,-1,-1,-2,-1,0,-1,0
2,-2,-1,-1,-2,-1,0,-1,0
2,3,-2,0,-1,1,-1,-1,0
-3,0,-5,1,-1,-2,2,1,0
-3,0,-5,1,-1,-2,2,1,0
-3,0,-5,1,-1,-2,2,1,0
0,-2,-2,1,0,1,-2,0,0
0,-2,-2,1,0,1,-2,0,0
0,-2,-2,1,0,1,-2,0,0
0,-2,-2,1,0,1,-2,0,0
0,-2,-2,1,0,1,-2,0,0
2,0,0,-3,-2,-1,0,-1,0
2,0,0,-3,-2,-1,0,-1,0
-1,0,0,-2,-1,0,0,0,0
-1,0,0,-2,-1,0,0,0,0
-1,0,0,-2,-1,0,0,0,0
-1,0,0,-2,-1,0,0,0,0
-1,0,0,-2,-1,0,0,0,0
-1,0,0,-2,-1,0,0,0,0
0,-2,-1,-1,1,-1,-2,-1,0
-2,-1,-1,-1,1,1,2,-2,0
-2,-3,-2,1,-2,-1,1,-2,0
-2,-3,-2,1,-2,-1,1,-2,0
-2,-3,-2,1,-2,-1,1,-2,0
-2,-3,-2,1,-2,-1,1,-2,0
-2,-3,-2,1,-2,-1,1,-2,0
-6,-2,-1,-1,-1,1,-3,-2,0
-6,-2,-1,-1,-1,1,-3,-2,0
-6,-2,-1,-1,-1,1,-3,-2,0
-6,-2,-1,-1,-1,1,-3,-2,0
-1,1,-3,0,-3,-1,1,-3,0
-1,1,-3,0,-3,-1,1,-3,0
-1,1,-3,0,-3,-1,1,-3,0
-1,1,-3,0,-3,-1,1,-3,0
0,0,2,-5,1,0,-1,-1,0
0,0,2,-5,1,0,-1,-1,0
0,0,2,-5,1,0,-1,-1,0
0,0,2,-5,1,0,-1,-1,0
0,0,2,-5,1,0,-1,-1,0
0,1,0,0,-1,-1,-2,-1,0
0,1,0,0,-1,-1,-2,-1,0
0,1,0,0,-1,-1,-2,-1,0
0,1,0,0,-1,-1,-2,-1,0
-1,1,-1,-1,-2,0,-2,0,0
-1,1,-1,-1,-2,0,-2,0,0
-1,1,-1,-1,-2,0,-2,0,0
2,-1,-2,0,0,-1,0,1,0
2,-1,-2,0,0,-1,0,1,0
2,-1,-2,0,0,-1,0,1,0
2,-1,-2,0,0,-1,0,1,0
2,-1,-2,0,0,-1,0,1,0
3,-1,4,0,-3,-2,-2,1,0
3,-1,4,0,-3,-2,-2,1,0
3,-1,4,0,-3,-2,-2,1,0
3,-1,4,0,-3,-2,-2,1,0
3,-1,4,0,-3,-2,-2,1,0
3,-1,4,0,-3,-2,-2,1,0
0,4,-3,0,0,1,1,-2,0
0,4,-3,0,0,1,1,-2,0
0,4,-3,0,0,1,1,-2,0
-3,-3,-2,-1,1,-1,0,-1,0
-3,-3,-2,-1,1,-1,0,-1,0
-3,-3,-2,-1,1,-1,0,-1,0
-3,-3,-2,-1,1,-1,0,-1,0
-3,-3,-2,-1,1,-1,0,-1,0
-1,-3,0,0,-1,1,1,-1,0
-1,-3,0,0,-1,1,1,-1,0
-1,-3,0,0,-1,1,1,-1,0
-1,-3,0,0,-1,1,1,-1,0
-1,-3,0,0,-1,1,1,-1,0
-1,-3,0,0,-1,1,1,-1,0
-2,-1,0,1,-2,-2,0,-2,0
-2,-1,0,1,-2,-2,0,-2,0
-2,-1,0,1,-2,-2,0,-2,0
-2,-1,0,1,-2,-2,0,-2,0
-2,-1,0,1,-2,-2,0,-2,0
-2,-1,0,1,-2,-2,0,-2,0
-8,-2,1,2,-3,-2,-2,-2,0
-8,-2,1,2,-3,-2,-2,-2,0
-8,-2,1,2,-3,-2,-2,-2,0
3,-1,-1,-2,-2,-1,-2,1,0
3,-1,-1,-2,-2,-1,-2,1,0
3,-1,-1,-2,-2,-1,-2,1,0
3,-1,-1,-2,-2,-1,-2,1,0
3,-1,-1,-2,-2,-1,-2,1,0
2,2,0,-2,-1,-1,1,1,0
2,2,0,-2,-1,-1,1,1,0
2,2,0,-2,-1,-1,1,1,0
-1,2,3,0,0,-1,-1,-2,0
-1,2,3,0,0,-1,-1,-2,0
-1,2,3,0,0,-1,-1,-2,0
-1,2,3,0,0,-1,-1,-2,0
-2,0,-1,2,-2,-1,-2,0,0
1,0,1,1,0,0,-2,1,0
1,0,1,1,0,0,-2,1,0
1,0,1,1,0,0,-2,1,0
1,0,1,1,0,0,-2,1,0
0,0,-2,-2,2,0,-3,1,0
-8,-1,-4,-1,-2,0,-1,-1,0
-8,-1,-4,-1,-2,0,-1,-1,0
-8,-1,-4,-1,-2,0,-1,-1,0
2,1,-1,-3,0,-1,1,-2,0
2,1,-1,-3,0,-1,1,-2,0
2,1,-1,-3,0,-1,1,-2,0
2,1,-1,-3,0,-1,1,-2,0
1,-5,-1,-4,-2,0,-2,1,0
-1,-2,-3,0,1,-1,0,0,0
-1,-2,-3,0,1,-1,0,0,0
-1,-2,-3,0,1,-1,0,0,0
-1,-2,-3,0,1,-1,0,0,0
-1,-2,-3,0,1,-1,0,0,0
5,-1,0,0,0,1,0,-1,0
5,-1,0,0,0,1,0,-1,0
5,-1,0,0,0,1,0,-1,0
-1,0,-4,-3,0,-1,0,-1,0
-1,0,-4,-3,0,-1,0,-1,0
-1,0,-4,-3,0,-1,0,-1,0
-1,0,-4,-3,0,-1,0,-1,0
-1,0,-4,-3,0,-1,0,-1,0
-1,0,-4,-3,0,-1,0,-1,0
0,0,-1,6,-1,0,0,0,0
0,0,-1,6,-1,0,0,0,0
0,0,-1,6,-1,0,0,0,0
0,0,-1,6,-1,0,0,0,0
0,0,-1,6,-1,0,0,0,0
0,2,-2,-3,-3,-2,-1,-1,0
0,1,0,1,1,0,0,-2,0
0,1,0,1,1,0,0,-2,0
0,1,0,1,1,0,0,-2,0
0,1,0,1,1,0,0,-2,0
0,1,0,1,1,0,0,-2,0
2,-3,-1,-4,-2,-2,-3,-1,0
2,-3,-1,-4,-2,-2,-3,-1,0
2,-3,-1,-4,-2,-2,-3,-1,0
-3,-3,-1,0,0,0,-1,-3,0
-3,-3,-1,0,0,0,-1,-3,0
-3,-3,-1,0,0,0,-1,-3,0
-3,-3,-1,0,0,0,-1,-3,0
-3,-3,-1,0,0,0,-1,-3,0
